id_jugador;partidos_jugados;partidos_en_alineacion;puntos_por_partido;goles;autogoles;entra_sustituto;sustituido;amarillas;doble_amarilla;rojas;goles_concedidos;porterias_a_cero;minutos_jugados;asistencias;id_estadisticas_jugador
1001;16;2;2;0;0;0;0;0;0;0;1;1;180;0;400
1002;17;17;2;0;0;0;0;1;0;0;16;5;2;0;401
1003;3;0;0;0;0;0;0;0;0;0;0;0;1000;0;402
1004;2;0;1;0;0;0;0;0;0;0;0;0;1001;0;403
1005;11;11;2;0;0;0;4;2;0;0;0;0;705;0;404
1006;13;12;2;0;0;0;0;1;3;0;0;0;1;0;405
1007;8;4;1;0;0;0;1;0;1;0;1;0;283;0;406
1008;16;15;2;0;0;0;0;3;1;0;0;0;1;0;407
1009;4;3;1;0;1;0;0;1;0;0;0;0;253;0;408
1010;17;17;2;1;2;0;2;1;5;0;0;1;1;0;409
1011;7;4;1;1;0;0;0;3;1;0;0;0;257;0;410
1012;10;9;2;0;1;0;5;2;1;0;0;0;334;0;411
1013;14;12;2;0;0;0;4;5;3;0;0;0;700;0;412
1014;13;12;1;0;1;0;4;3;4;0;0;0;785;0;413
1015;15;14;2;1;0;0;7;2;3;0;0;0;762;0;414
1016;18;18;2;0;0;0;0;7;7;0;0;0;1;1;415
1017;7;3;2;1;0;0;3;0;1;0;0;0;99;1;416
1018;13;10;2;1;0;0;7;3;1;0;0;0;328;1;417
1019;17;16;2;0;4;0;4;8;2;0;0;0;980;1;418
1020;4;2;2;0;0;0;2;0;1;0;0;0;76;1;419
1021;4;2;2;0;0;0;2;0;1;0;0;0;76;1;420
1022;17;16;2;0;1;0;7;6;3;0;0;0;827;1;421
1023;11;11;2;5;1;0;4;6;2;0;0;0;658;1;422
1024;16;16;2;2;0;0;3;5;5;0;0;0;1;1;423
1025;14;14;2;1;1;0;8;4;0;0;0;0;638;1;424
1026;4;3;1;0;0;0;1;2;1;0;0;0;129;1;425
1027;18;17;2;1;2;0;2;10;2;0;0;0;1;1;426
1028;11;11;2;8;0;0;1;4;5;0;0;4;898;1;427
1029;8;7;2;2;1;0;1;3;0;0;0;0;525;1;428
1030;17;15;1;2;1;0;12;2;1;0;0;1;357;1;429
1031;17;5;1;0;0;0;1;0;0;0;8;0;405;1;430
1032;18;15;2;0;0;1;0;2;0;0;6;9;1;1;431
1033;3;0;2;0;0;0;0;0;0;0;0;0;1002;1;432
1034;8;8;2;0;0;0;0;1;0;0;0;0;692;1;433
1035;12;12;2;0;0;0;0;1;7;0;0;0;1;1;434
1036;13;11;2;0;0;0;2;2;0;0;0;0;812;1;435
1037;12;11;2;0;0;0;4;1;0;0;0;0;681;1;436
1038;17;15;2;1;0;0;7;3;1;0;0;0;798;1;437
1039;13;12;2;1;2;0;0;2;1;0;1;0;999;1;438
1040;5;4;2;0;1;0;2;1;0;1;0;0;73;1;439
1041;13;13;2;0;2;0;1;0;1;0;0;0;1;1;440
1042;9;8;2;1;0;0;3;2;2;0;0;0;415;1;441
1043;10;6;2;0;0;0;4;1;1;0;0;0;192;1;442
1044;17;15;2;0;0;0;4;3;4;0;0;0;972;1;443
1045;7;6;2;0;0;0;4;1;0;0;0;0;191;1;444
1046;15;15;2;1;1;0;2;4;5;0;0;0;1;1;445
1047;15;12;2;0;0;0;6;1;2;0;0;0;642;1;446
1048;17;17;2;2;1;0;2;11;4;0;0;0;1;1;447
1049;14;14;2;2;2;0;5;7;5;0;0;0;853;2;448
1050;16;14;2;1;0;0;4;6;0;0;0;0;697;2;449
1051;17;16;2;2;2;0;5;9;5;0;0;0;904;2;450
1052;15;14;2;2;0;0;7;6;3;1;0;0;700;2;451
1053;15;15;2;4;1;0;5;5;4;1;0;2;924;2;452
1054;16;16;2;5;2;0;3;11;1;0;0;2;1;2;453
1055;5;2;2;0;0;0;2;0;0;0;0;0;25;2;454
1056;15;13;2;2;0;0;9;4;1;0;0;0;290;2;455
1057;17;11;2;0;0;0;0;0;0;0;8;6;990;2;456
1058;15;8;2;0;0;0;0;0;0;0;5;4;720;2;457
1059;5;0;3;0;0;0;0;0;0;0;0;0;1003;2;458
1060;6;4;1;0;0;0;0;1;0;0;0;0;283;2;459
1061;8;8;2;0;0;0;0;0;3;0;0;0;720;2;460
1062;1;38;25;2;0;0;3;0;5;0;1;0;2;1;461
1063;16;14;2;0;0;0;0;1;4;0;0;0;1;2;462
1064;15;11;2;0;0;0;1;0;2;0;0;0;921;2;463
1065;6;6;2;0;1;0;0;0;0;0;0;0;540;2;464
1066;13;13;2;0;2;0;0;0;5;0;0;0;1;2;465
1067;9;9;2;0;1;0;0;2;2;0;0;0;789;2;466
1068;9;9;2;0;0;0;1;0;1;0;0;0;741;2;467
1069;6;3;2;0;1;0;0;1;0;0;0;0;249;2;468
1070;16;13;2;1;1;0;3;1;5;0;0;0;908;2;469
1071;10;10;2;0;0;0;0;1;1;0;0;0;877;2;470
1072;12;12;2;1;2;0;8;3;1;0;0;0;502;2;471
1073;14;7;2;0;0;0;2;0;2;0;0;0;464;2;472
1074;16;13;2;0;0;0;4;1;2;0;0;0;836;2;473
1075;7;7;2;1;0;0;1;6;1;0;0;1;477;2;474
1076;10;10;2;0;0;0;5;5;0;0;0;0;426;2;475
1077;16;15;2;2;5;0;5;9;0;0;0;1;849;2;476
1078;2;78;61;2;3;0;22;20;10;0;2;1;3;2;477
1079;12;11;2;3;0;0;1;6;2;0;0;0;852;2;478
1080;10;9;2;3;4;0;6;0;2;0;0;0;438;2;479
1081;15;15;2;4;2;0;3;10;2;0;0;0;850;2;480
1082;12;9;2;2;1;0;5;1;3;0;1;0;439;2;481
1083;11;7;3;0;0;0;5;2;0;0;0;0;233;2;482
1084;18;16;2;5;1;0;3;11;1;0;0;1;944;2;483
1085;11;9;2;3;0;0;4;4;1;0;0;0;484;2;484
1086;12;11;2;3;0;0;8;2;1;1;0;0;408;2;485
1087;18;18;2;0;0;0;0;2;0;0;10;11;2;2;486
1088;18;1;4;0;0;0;0;1;0;0;1;0;90;2;487
1089;2;0;5;0;0;0;0;0;0;0;0;0;1004;2;488
1090;17;16;2;0;0;0;0;1;5;0;0;0;1;2;489
1091;13;13;2;1;0;0;0;0;0;0;0;0;1;2;490
1092;18;13;2;0;1;0;3;1;3;0;0;0;931;2;491
1093;11;6;2;0;0;0;2;1;1;0;0;0;327;2;492
1094;2;1;3;0;0;0;0;0;0;0;0;0;90;2;493
1095;11;11;2;0;0;0;0;0;1;0;0;0;990;2;494
1096;11;11;2;0;0;0;0;0;1;0;0;0;990;2;495
1097;4;4;2;0;0;0;0;1;0;0;0;0;315;2;496
1098;14;13;2;0;0;0;1;4;5;0;0;0;970;2;497
1099;9;8;2;0;0;0;2;4;2;0;0;0;438;2;498
1100;1;0;6;0;0;0;0;0;0;0;0;0;1005;2;499
1101;15;15;2;0;1;0;1;1;2;0;0;0;1;2;500
1102;17;17;2;1;2;0;1;5;2;0;0;0;1;2;501
1103;3;25;21;2;0;0;14;5;4;0;3;2;759;0;502
1104;7;4;3;0;0;0;2;0;0;0;0;0;209;2;503
1105;18;14;2;1;0;0;8;0;1;0;0;0;620;2;504
1106;17;17;2;3;2;0;1;12;2;0;0;2;1;2;505
1107;16;16;2;1;0;0;6;10;4;0;0;0;864;2;506
1108;13;13;2;1;0;0;3;8;2;0;0;0;969;2;507
1109;5;3;2;0;1;0;2;1;0;0;0;0;96;2;508
1110;10;10;2;1;1;0;3;6;3;0;0;0;512;2;509
1111;13;13;2;2;0;0;9;5;3;0;0;0;552;2;510
1112;1;1;3;0;0;0;1;0;0;0;0;0;44;2;511
1113;10;10;2;1;0;0;4;6;2;0;0;0;476;2;512
1114;11;11;2;0;1;0;9;2;0;0;0;0;278;2;513
1115;16;16;2;5;0;0;5;10;1;0;0;1;1;2;514
1116;13;11;1;0;0;0;10;1;3;0;0;0;204;2;515
1117;17;17;2;2;0;0;10;7;1;0;0;0;629;2;516
1118;5;3;2;0;0;0;3;0;0;0;0;0;21;2;517
1119;5;3;2;0;0;0;3;0;0;0;0;0;21;2;518
1120;14;9;1;0;0;0;0;1;0;0;10;2;810;2;519
1121;19;10;1;0;0;0;0;2;0;0;15;2;900;2;520
1122;5;0;7;0;0;0;0;0;0;0;0;0;1006;2;521
1123;8;8;1;0;0;0;2;1;2;0;0;0;593;2;522
1124;8;7;1;0;0;0;0;0;2;0;1;0;568;2;523
1125;12;12;1;0;1;0;3;2;4;0;0;0;837;2;524
1126;9;8;1;0;0;0;3;3;2;0;0;0;486;2;525
1127;10;4;2;0;0;0;2;1;1;0;0;0;178;2;526
1128;14;14;1;0;1;0;0;3;5;0;0;0;1;2;527
1129;6;5;0;0;0;0;0;1;0;0;0;0;423;2;528
1130;18;11;1;0;1;0;5;4;2;0;1;0;497;2;529
1131;4;82;81;1;3;0;2;11;20;0;4;3;7;2;530
1132;5;29;16;1;1;0;6;4;1;0;5;4;885;0;531
1133;17;16;1;0;0;0;0;4;2;0;0;0;1;2;532
1134;3;0;8;0;0;0;0;0;0;0;0;0;1007;2;533
1135;13;11;1;0;0;0;3;3;1;0;0;0;692;2;534
1136;19;17;1;0;0;0;6;5;4;0;0;0;982;2;535
1137;15;15;1;5;1;0;0;4;3;0;0;0;1;2;536
1138;15;15;1;0;0;0;4;3;4;0;0;0;1;2;537
1139;14;14;1;1;1;0;4;4;2;2;0;0;915;2;538
1140;6;9;8;1;0;0;3;3;4;0;6;5;429;0;539
1141;7;74;67;1;5;0;22;21;7;0;7;6;4;1;540
1142;6;5;1;1;0;0;3;2;1;0;0;0;208;2;541
1143;10;7;1;0;0;0;3;3;0;0;0;0;278;2;542
1144;6;2;9;0;0;0;2;0;0;0;0;0;29;2;543
1145;2;0;10;0;0;0;0;0;0;0;0;0;1008;2;544
1146;16;15;1;0;1;0;11;4;0;0;1;0;568;2;545
1147;6;6;1;1;0;0;0;2;0;0;0;0;425;2;546
1148;5;5;1;0;0;0;2;2;1;0;0;0;239;2;547
1149;16;15;1;0;2;0;4;5;0;0;0;0;1;2;548
1150;2;2;1;1;0;0;1;1;0;0;0;1;72;2;549
1151;16;16;1;5;4;0;1;3;2;0;0;2;1;2;550
1152;14;14;1;2;0;0;7;6;4;0;0;0;644;2;551
1153;9;7;1;1;0;0;5;2;0;0;0;0;235;2;552
1154;2;2;11;0;0;0;2;0;0;0;0;0;46;2;553
1155;12;10;2;0;0;0;0;0;0;1;8;4;826;2;554
1156;18;9;2;0;0;1;0;2;0;0;8;4;792;2;555
1157;6;0;12;0;0;0;0;0;0;0;0;0;1009;2;556
1158;15;15;2;1;0;0;0;2;3;0;1;0;1;2;557
1159;18;18;2;4;0;0;0;0;4;0;0;3;2;2;558
1160;12;2;2;0;0;0;2;0;0;0;0;0;43;2;559
1161;17;16;2;0;0;0;1;1;3;0;0;0;1;2;560
1162;7;4;2;0;0;0;1;1;0;0;0;0;270;2;561
1163;17;13;2;0;0;0;4;1;2;0;0;0;849;2;562
1164;15;14;2;1;2;0;1;1;2;0;1;0;1;2;563
1165;16;13;2;0;0;0;3;3;4;0;0;0;952;2;564
1166;17;17;2;3;1;0;1;4;6;0;0;0;1;2;565
1167;17;12;2;0;0;0;6;4;2;0;0;0;471;2;566
1168;1;1;1;0;0;0;0;0;0;0;1;0;55;2;567
1169;18;18;2;1;0;0;0;6;2;0;0;0;2;2;568
1170;10;5;2;0;0;0;1;3;0;0;0;0;358;2;569
1171;9;7;2;0;1;0;3;2;0;0;0;0;342;2;570
1172;4;4;2;0;0;0;4;0;0;0;0;0;64;2;571
1173;4;4;2;0;0;0;4;0;0;0;0;0;64;2;572
1174;4;4;2;0;0;0;4;0;0;0;0;0;64;2;573
1175;4;4;2;0;0;0;4;0;0;0;0;0;64;2;574
1176;14;12;2;0;0;0;10;2;3;0;0;0;302;2;575
1177;14;14;2;1;4;0;1;11;1;0;0;0;1;2;576
1178;7;6;2;0;0;0;5;2;0;0;0;0;138;2;577
1179;13;13;2;3;2;0;3;8;2;0;1;0;795;2;578
1180;11;8;2;0;1;0;4;5;2;0;0;0;267;2;579
1181;1;0;13;0;0;0;0;0;0;0;0;0;1010;2;580
1182;16;14;2;1;1;0;9;4;3;0;0;0;506;2;581
1183;3;3;3;0;0;0;3;0;1;0;0;0;2;2;582
1184;16;16;2;9;0;0;3;6;3;0;0;0;1;2;583
1185;13;8;1;0;0;0;0;0;0;0;10;1;720;2;584
1186;19;11;1;0;0;0;0;2;0;0;11;3;990;2;585
1187;3;0;14;0;0;0;0;0;0;0;0;0;1011;2;586
1188;10;9;1;1;0;0;0;1;2;0;0;0;799;2;587
1189;16;16;1;0;0;0;0;0;2;0;0;0;1;2;588
1190;4;3;1;0;0;0;1;0;1;0;0;0;191;2;589
1191;7;5;1;0;0;0;1;2;1;0;0;0;316;3;590
1192;19;13;1;0;0;0;5;0;1;0;0;0;776;3;591
1193;9;9;1;0;0;0;1;5;1;0;0;0;568;3;592
1194;7;5;1;0;0;0;0;1;1;0;0;0;405;3;593
1195;4;2;1;0;0;0;0;2;0;0;0;0;116;3;594
1196;13;10;1;0;0;0;3;4;2;0;0;0;574;3;595
1197;16;16;1;0;0;0;5;1;3;0;1;0;1;3;596
1198;16;16;1;0;0;0;6;3;2;0;0;0;978;3;597
1199;13;12;1;0;0;0;2;6;1;0;0;0;767;3;598
1200;5;4;1;0;1;0;1;2;1;0;0;0;244;3;599
1201;14;13;1;2;0;0;5;7;6;0;0;1;634;3;600
1202;9;8;1;0;0;0;3;1;1;0;0;0;489;3;601
1203;6;6;1;0;0;0;2;3;0;0;0;0;305;3;602
1204;16;16;1;3;1;0;5;3;3;0;0;1;1;3;603
1205;14;14;1;0;1;0;8;5;4;0;0;0;573;3;604
1206;8;21;17;1;1;0;9;4;0;0;8;0;858;0;605
1207;11;9;1;3;0;0;5;1;0;0;0;0;451;3;606
1208;16;14;1;0;0;0;7;7;2;0;0;0;677;3;607
1209;13;13;1;1;0;0;2;6;5;0;1;0;997;3;608
1210;10;10;1;2;1;0;3;5;0;0;0;0;614;3;609
1211;4;4;1;0;0;0;3;1;0;0;0;0;77;3;610
1212;9;8;1;0;0;0;2;5;2;0;0;0;521;3;611
1213;12;11;1;0;0;0;4;4;5;0;0;0;673;3;612
1214;13;13;1;2;4;0;2;5;4;0;1;1;885;3;613
1215;3;3;1;0;0;0;1;2;1;0;0;0;159;3;614
1216;9;6;1;0;0;0;2;1;0;0;0;0;382;3;615
1217;16;16;2;0;0;0;3;4;0;0;16;4;1;3;616
1218;19;6;1;0;0;3;0;0;0;0;8;2;367;3;617
1219;3;0;15;0;0;0;0;0;0;0;0;0;1012;3;618
1220;10;10;2;0;0;0;0;1;3;0;0;0;889;3;619
1221;17;17;2;2;0;0;0;1;2;0;1;0;2;3;620
1222;16;12;1;1;0;0;3;0;2;0;1;0;915;3;621
1223;9;19;3;2;0;0;0;0;1;0;9;1;270;0;622
1224;10;110;99;1;1;0;2;3;30;0;10;2;9;4;623
1225;9;4;1;0;0;0;1;1;1;0;0;0;227;3;624
1226;11;6;2;0;1;0;0;1;1;0;1;0;417;3;625
1227;10;10;1;1;1;0;2;0;4;0;0;0;797;3;626
1228;10;9;2;0;1;0;2;5;1;0;0;0;616;3;627
1229;17;17;2;2;2;0;5;4;4;0;0;0;1;3;628
1230;16;16;2;1;4;0;0;4;6;0;1;0;1;3;629
1231;3;2;5;0;0;0;2;0;0;0;0;0;-163;3;630
1232;16;16;2;1;0;0;0;2;5;0;1;0;1;3;631
1233;13;10;1;0;0;0;2;5;2;1;0;0;545;3;632
1234;4;1;16;0;0;0;1;0;0;0;0;0;10;3;633
1235;18;16;1;1;2;0;5;2;3;0;1;0;1;3;634
1236;16;11;1;0;0;0;6;4;0;0;0;0;419;3;635
1237;11;10;2;2;0;0;5;4;1;0;0;0;441;3;636
1238;13;13;2;3;1;0;6;6;4;0;0;1;491;3;637
1239;3;3;3;0;0;0;3;0;1;0;0;0;-74;3;638
1240;13;11;2;0;0;0;3;8;2;0;0;0;594;3;639
1241;12;9;2;2;1;0;0;8;1;0;0;0;631;3;640
1242;11;11;2;0;0;0;8;3;2;0;0;0;451;3;641
1243;7;7;2;2;1;0;1;3;2;0;0;0;525;3;642
1244;9;9;2;0;0;0;8;1;2;0;0;0;133;3;643
1245;17;17;2;8;0;0;0;11;2;0;0;3;1;3;644
1246;18;16;2;0;0;0;11;2;2;0;0;0;324;3;645
1247;19;17;1;0;0;0;0;0;0;0;14;7;2;3;646
1248;19;2;2;0;0;0;0;0;0;0;2;0;180;3;647
1249;19;2;2;0;0;0;0;0;0;0;2;0;180;3;648
1250;18;18;1;0;0;0;0;0;2;1;0;0;2;3;649
1251;11;62;50;1;0;0;8;3;7;0;11;3;4;0;650
1252;7;4;1;0;0;0;1;1;1;0;0;0;256;3;651
1253;8;4;2;0;0;0;2;0;2;0;0;0;232;3;652
1254;17;15;1;1;0;0;1;3;3;0;0;0;1;3;653
1255;13;13;1;0;0;0;4;3;2;0;0;0;773;3;654
1256;9;6;1;0;0;0;2;3;1;0;0;0;290;3;655
1257;18;17;1;0;0;0;8;2;3;1;0;0;1;3;656
1258;19;19;1;0;0;0;4;5;1;0;0;0;1;3;657
1259;17;17;1;0;3;0;3;6;6;0;0;0;1;3;658
1260;19;18;1;0;0;0;7;6;4;0;0;0;1;3;659
1261;14;8;2;0;0;0;5;2;1;0;0;0;232;3;660
1262;18;18;1;1;0;0;1;4;7;0;0;0;1;3;661
1263;19;19;1;0;0;0;7;10;2;0;0;0;1;3;662
1264;3;3;2;0;0;0;2;1;1;0;0;0;104;3;663
1265;11;11;1;1;0;0;6;3;1;1;0;1;444;3;664
1266;11;11;1;0;0;0;7;4;1;0;0;0;337;3;665
1267;18;15;1;0;0;0;7;8;0;0;0;0;669;3;666
1268;15;15;1;3;1;0;2;8;4;0;1;0;1;3;667
1269;16;16;1;3;1;0;9;5;2;0;0;2;784;3;668
1270;17;17;1;5;1;0;4;5;1;1;0;0;1;3;669
1271;12;11;2;1;1;0;3;7;1;0;0;0;642;3;670
1272;1;0;17;0;0;0;0;0;0;0;0;0;1013;3;671
1273;16;16;2;2;0;0;1;1;0;0;15;7;1;3;672
1274;9;4;1;0;0;1;0;1;0;0;4;1;314;3;673
1275;8;0;18;0;0;0;0;0;0;0;0;0;1014;3;674
1276;4;0;19;0;0;0;0;0;0;0;0;0;1015;3;675
1277;18;16;2;0;0;0;3;3;1;0;0;0;1;3;676
1278;14;10;2;0;0;0;2;2;3;0;0;0;708;3;677
1279;15;13;2;0;0;0;2;1;1;0;1;0;1;3;678
1280;9;6;2;0;0;0;0;1;2;0;0;0;469;3;679
1281;16;16;1;1;1;0;0;0;1;0;1;0;1;3;680
1282;16;16;1;1;1;0;0;0;1;0;1;0;1;3;681
1283;7;7;1;0;0;0;1;3;1;0;0;0;514;3;682
1284;18;16;2;0;0;0;3;1;3;0;0;0;1;3;683
1285;3;3;2;0;0;0;0;2;1;0;0;0;264;3;684
1286;3;3;2;0;0;0;0;2;1;0;0;0;264;3;685
1287;13;12;2;0;0;0;5;5;4;0;0;0;601;3;686
1288;19;17;2;0;0;0;3;7;3;0;0;0;1;3;687
1289;14;14;2;1;0;0;5;4;6;0;0;0;897;3;688
1290;15;12;2;0;0;0;5;5;3;0;0;0;587;3;689
1291;12;10;2;2;0;0;4;4;0;0;0;0;563;3;690
1292;18;18;1;2;4;0;0;2;1;0;1;0;2;3;691
1293;13;13;1;2;1;0;2;10;3;0;0;0;827;3;692
1294;14;13;2;2;1;0;10;4;1;0;0;0;431;3;693
1295;17;14;2;1;0;0;7;7;3;0;0;0;528;3;694
1296;17;17;2;0;1;0;9;8;2;0;0;0;701;3;695
1297;7;5;2;1;1;0;4;2;0;0;0;0;153;3;696
1298;7;5;2;1;1;0;4;2;0;0;0;0;153;3;697
1299;16;16;2;5;3;0;3;5;5;0;0;0;1;3;698
1300;18;18;1;3;1;0;8;8;1;0;0;1;929;3;699
1301;12;27;25;1;1;0;10;9;6;0;12;4;1;4;700
1302;3;1;1;0;0;0;1;0;1;0;0;0;1016;3;701
1303;8;7;2;0;0;0;7;0;1;0;0;0;128;3;702
1304;16;5;2;0;0;0;0;0;0;0;3;3;450;3;703
1305;17;14;1;0;0;0;0;1;0;0;13;3;1;3;704
1306;5;0;20;0;0;0;0;0;0;0;0;0;1017;3;705
